VARIABLE_MAP,ICARTT_NAME,ICARTT_UNITS,ICARTT_SCALE,ICARTT_FILL,OUTPUT_INCLUDE,OUTPUT_NAME,OUTPUT_UNITS,OUTPUT_SCALE,OUTPUT_FILL,USER_FUNC
references/actamerica/variables/B200/AircraftSunAzimuth.json,AircraftSunAzimuth,degs,1,-999999,1,AircraftSunAzimuth,degs,1,-999999,NULL
references/actamerica/variables/B200/AircraftSunElevation.json,AircraftSunElevation,degs,1,-999999,1,AircraftSunElevation,degs,1,-999999,NULL
references/actamerica/variables/B200/Altitude_AGL.json,Altitude_AGL,km,1,-999999,1,Altitude_AGL,m,1000,-999999,NULL
references/actamerica/variables/B200/Altitude_AGL.json,Altitude-AGL_GoogleMaps,km,1,-999999,1,Altitude_AGL,m,1000,-999999,NULL
references/actamerica/variables/B200/ALTP.json,ALTP,km,1,-999999,1,ALTP,m,1000,-999999,NULL
references/actamerica/variables/B200/BENZ_MoleFraction_PFP.json,BENZ_MoleFraction_PFP,ppt,1,-999999,1,BENZ_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/C2F6_MoleFraction_PFP.json,C2F6_MoleFraction_PFP,ppt,1,-999999,1,C2F6_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/C2H2_MoleFraction_PFP.json,C2H2_MoleFraction_PFP,ppt,1,-999999,1,C2H2_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/C2H6_MixingRatio_CAMS2.json,C2H6_CAMS2,ppbv,1,-999999,1,C2H6_MixingRatio_CAMS2,ppbv,1,-999999,NULL
references/actamerica/variables/B200/C2H6_MixingRatio_CAMS2.json,C2H6_MixingRatio_CAMS2,ppbv,1,-999999,1,C2H6_MixingRatio_CAMS2,ppbv,1,-999999,NULL
