VARIABLE_MAP,ICARTT_NAME,ICARTT_UNITS,ICARTT_SCALE,ICARTT_FILL,OUTPUT_INCLUDE,OUTPUT_NAME,OUTPUT_UNITS,OUTPUT_SCALE,OUTPUT_FILL,USER_FUNC
NULL,LOCAL_SUN_TIME,hour,1.0,-999999.0,1,LOCAL_SUN_TIME,hour,1.0,-999999.0,NULL
NULL,CabinPressure,hPa,1.0,-999999.0,1,CabinPressure,hPa,1.0,-999999.0,NULL
NULL,H2O_SatVaporPressureWater,hPa,1.0,-999999.0,1,H2O_SatVaporPressureWater,hPa,1.0,-999999.0,NULL
NULL,F152A_MoleFraction_PFP,ppt,1.0,-999999.0,1,F152A_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,CO2C14_MoleFraction_PFP,permil,1.0,-999999.0,1,CO2C14_MoleFraction_PFP,permil,1.0,-999999.0,NULL
NULL,SZA,deg,1.0,-999999.0,1,SZA,deg,1.0,-999999.0,NULL
NULL,MCFA_MoleFraction_PFP,ppt,1.0,-999999.0,1,MCFA_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,PRESSURE,hPa,1.0,-999999.0,1,PRESSURE,hPa,1.0,-999999.0,NULL
NULL,MLH_CPL,km,1.0,-999999.0,1,MLH_CPL,km,1.0,-999999.0,NULL
NULL,ALTP,km,1.0,-999999.0,1,ALTP,km,1.0,-999999.0,NULL
NULL,F115_MoleFraction_PFP,ppt,1.0,-999999.0,1,F115_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,H2O_RelativeHumidity,%,1.0,-999999.0,1,H2O_RelativeHumidity,%,1.0,-999999.0,NULL
NULL,PotentialTemp_Nav,K,1.0,-999999.0,1,PotentialTemp_Nav,K,1.0,-999999.0,NULL
NULL,F125_MoleFraction_PFP,ppt,1.0,-999999.0,1,F125_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,GRD_SPD,m s-1,1.0,-999999.0,1,GRD_SPD,m s-1,1.0,-999999.0,NULL
